AGILE,SNORT,DUMPY,CHUCK
ARSON,PLIED,BEECH,FUGUE
ARSON,PLIED,HEFTY,QUEUE
DECRY,SLANT,BOOTH,THUMP
DECRY,SLANT,GUMBO,FIFTH
DECRY,SPOIL,TANGO,BUXOM
DRAIN,CLOSE,BUGGY,MOTTO
EARLY,PINTO,CRUSH,STOOD
EARLY,PINTO,SHUCK,BOOST
EARLY,POINT,CHUMP,VIVID
EARLY,POINT,CLUMP,VIVID
EARLY,POINT,CRUMB,VIVID
EARLY,POINT,CRUMP,VIVID
EARLY,POINT,CUBIC,FICUS
EARLY,POINT,CUMIN,FICUS
EARLY,POINT,CURIO,FICUS
EARLY,POINT,CURSE,VIVID
EARLY,POINT,CUTIE,FICUS
EARLY,POINT,HUMID,FICUS
EARLY,POINT,MIMIC,SUSHI
EARLY,POINT,MUCKY,VIVID
EARLY,POINT,MUCUS,VIVID
EARLY,POINT,MULCH,VIVID
EARLY,POINT,MUNCH,VIVID
EARLY,POINT,MUSIC,FICUS
EARLY,POINT,SUMAC,VIVID
EARLY,SHUNT,CABIN,DINGO
EARLY,SOUTH,BISON,KNOCK
EARLY,SOUTH,BLOWN,IDIOM
EARLY,SOUTH,BROWN,IDIOM
FIERY,COAST,MANGA,PUPAL
FIERY,SCOLD,TANGO,BUXOM
FLYER,COAST,PAGAN,NINJA
FORAY,ELITE,CHUMP,VIVID
GAYER,SNOUT,CLIMB,HUMPH
GLORY,CASTE,UNFED,DEBIT
GLORY,SINCE,DEATH,TWEET
GRAIL,MOUNT,SPECK,WHOOP
GRAIL,SCONE,DEPTH,TWEET
GRAIL,SNOUT,DUMPY,CHUCK
GRAIL,STONE,DUMPY,CHUCK
GRAIN,MOULT,SPECK,WHOOP
GRAIN,STOLE,DUMPY,CHUCK
HYMEN,FRAIL,STRUT,GOURD
LAYER,PINTO,CRUSH,STOOD
LAYER,PINTO,SHUCK,BOOST
LAYER,POINT,CHUMP,VIVID
LAYER,POINT,CLUMP,VIVID
LAYER,POINT,CRUMB,VIVID
LAYER,POINT,CRUMP,VIVID
LAYER,POINT,CUBIC,FICUS
LAYER,POINT,CUMIN,FICUS
LAYER,POINT,CURIO,FICUS
LAYER,POINT,CURSE,VIVID
LAYER,POINT,CUTIE,FICUS
LAYER,POINT,HUMID,FICUS
LAYER,POINT,MIMIC,SUSHI
LAYER,POINT,MUCKY,VIVID
LAYER,POINT,MUCUS,VIVID
LAYER,POINT,MULCH,VIVID
LAYER,POINT,MUNCH,VIVID
LAYER,POINT,MUSIC,FICUS
LAYER,POINT,SUMAC,VIVID
LAYER,SHUNT,CABIN,DINGO
LAYER,SOUTH,BISON,KNOCK
LAYER,SOUTH,BLOWN,IDIOM
LAYER,SOUTH,BROWN,IDIOM
LEAST,GROIN,DUMPY,CHUCK
MATEY,BLOND,CRUSH,WHIFF
MATEY,BLOWN,CRISP,VIVID
MODAL,SIREN,BUTCH,EVERY
MODAL,SIREN,ERECT,RETRY
NADIR,CLOSE,BUGGY,MOTTO
RADIO,SHELF,PENCE,UNMET
RADIO,SHELF,PENNE,UNMET
READY,PILOT,SNUCK,WHIFF
READY,SCION,TOUGH,JUMBO
READY,SNOUT,CLIMB,HUMPH
RELAY,PINTO,CRUSH,STOOD
RELAY,PINTO,SHUCK,BOOST
RELAY,POINT,CHUMP,VIVID
RELAY,POINT,CLUMP,VIVID
RELAY,POINT,CRUMB,VIVID
RELAY,POINT,CRUMP,VIVID
RELAY,POINT,CUBIC,FICUS
RELAY,POINT,CUMIN,FICUS
RELAY,POINT,CURIO,FICUS
RELAY,POINT,CURSE,VIVID
RELAY,POINT,CUTIE,FICUS
RELAY,POINT,HUMID,FICUS
RELAY,POINT,MIMIC,SUSHI
RELAY,POINT,MUCKY,VIVID
RELAY,POINT,MUCUS,VIVID
RELAY,POINT,MULCH,VIVID
RELAY,POINT,MUNCH,VIVID
RELAY,POINT,MUSIC,FICUS
RELAY,POINT,SUMAC,VIVID
RELAY,SHUNT,CABIN,DINGO
RELAY,SOUTH,BISON,KNOCK
RELAY,SOUTH,BLOWN,IDIOM
RELAY,SOUTH,BROWN,IDIOM
REPLY,TONIC,SWIFT,FIFTH
ROYAL,DEIGN,SHEET,BUTTE
ROYAL,HINGE,STEED,DEBUT
ROYAL,HINGE,UPSET,FETUS
ROYAL,NEIGH,STEED,BUTTE
ROYAL,NEIGH,TWEED,BUTTE
ROYAL,NIECE,SHIFT,HUMID
ROYAL,RINSE,FLEET,DEBUG
ROYAL,RINSE,TEETH,EMBED
ROYAL,SINGE,CADET,TEETH
ROYAL,SINGE,DUTCH,TWEET
ROYAL,SINGE,FLEET,DEPTH
ROYAL,SINGE,TEETH,EMBED
ROYAL,SPICE,TWEED,BEGUN
ROYAL,TENSE,CHUMP,VIVID
ROYAL,TENSE,COUCH,VIVID
ROYAL,TENSE,CUBIC,WHIFF
ROYAL,TENSE,CUMIN,WHIFF
SCARY,PLIED,BONGO,QUOTH
SCARY,WHILE,DONUT,EMBED
SCORE,GLINT,DUMPY,KAYAK
SLATE,GROIN,DUMPY,CHUCK
SOLAR,NIGHT,DUMPY,EMCEE
SONAR,PLIED,BEECH,FUGUE
SONAR,PLIED,HEFTY,QUEUE
STALE,GROIN,DUMPY,CHUCK
STOLE,GRAIN,DUMPY,CHUCK
STORE,CLING,DUMPY,KAYAK
STYLE,BACON,AWARD,PIZZA
STYLE,BACON,FRAUD,PIZZA
STYLE,MANOR,CRUDE,FORGO
TEARY,FOCUS,BLIND,WHOOP
TEARY,SLING,CRUMB,FLOOD
TRAIN,MOGUL,SPECK,WHOOP
ULTRA,SCONE,DEIGN,ENEMY
ULTRA,SYNOD,CHEEK,PIXIE
ULTRA,SYNOD,CHEER,PIXIE
ULTRA,SYNOD,CHIEF,FEMME
ULTRA,SYNOD,CIDER,FEMME
ULTRA,SYNOD,CRIED,FEMME
ULTRA,SYNOD,CRIER,FEMME
YEARN,FLOUT,CHAMP,SQUIB
YEARN,FLOUT,CHIME,SQUIB
YEARN,FLOUT,CHUMP,SUSHI
YEARN,FLOUT,CLAIM,SHUSH
YEARN,FLOUT,CLIMB,SHUSH
YEARN,FLOUT,COMIC,SHUSH
YEARN,FLOUT,CUBIC,SHUSH
YEARN,FLOUT,CUMIN,SHUSH
YEARN,FOIST,CIVIL,HUMID
YEARN,HOIST,CIVIL,FLUID
YEARN,PLUSH,MIDST,TOXIC
YEARN,PLUSH,TIMID,MOTTO
YEARN,SPILT,CRUMB,FLOOD
YEARN,STILT,CRUMB,FLOOD
